accession	protein_id	header	sequence_length	source_db	retrieved_at_utc	query
XP_036127492.1	1910881692	XP_036127492.1 angiotensin-converting enzyme 2 isoform X1 [Molossus molossus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_015974412.2	1910512262	XP_015974412.2 angiotensin-converting enzyme 2 [Rousettus aegyptiacus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036030683.1	1908100892	XP_036030683.1 angiotensin-converting enzyme 2 [Onychomys torridus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_030160839.1	1720844682	XP_030160839.1 angiotensin-converting enzyme 2 [Lynx canadensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_035872276.1	1899689016	XP_035872276.1 angiotensin-converting enzyme 2 [Phyllostomus discolor]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027465354.1	1543735662	XP_027465354.1 angiotensin-converting enzyme 2 [Zalophus californianus]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027465353.1	1543735660	XP_027465353.1 angiotensin-converting enzyme 2 [Zalophus californianus]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027288607.1	1538012266	XP_027288607.1 angiotensin-converting enzyme 2 [Cricetulus griseus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_003503283.1	354482190	XP_003503283.1 angiotensin-converting enzyme 2 [Cricetulus griseus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_034852450.1	1851867094	XP_034852450.1 angiotensin-converting enzyme 2 [Mirounga leonina]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_034505781.1	1845750672	XP_034505781.1 angiotensin-converting enzyme 2 [Ailuropoda melanoleuca]	705	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_010643477.1	731262258	XP_010643477.1 angiotensin-converting enzyme 2 [Fukomys damarensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_033056809.1	1825945346	XP_033056809.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Trachypithecus francoisi]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032746145.1	1821009383	XP_032746145.1 angiotensin-converting enzyme 2 [Rattus rattus]	793	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032736029.1	1820898002	XP_032736029.1 angiotensin-converting enzyme 2 [Lontra canadensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032736028.1	1820898000	XP_032736028.1 angiotensin-converting enzyme 2 [Lontra canadensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032476005.1	1814725302	XP_032476005.1 angiotensin-converting enzyme 2 isoform X2 [Phocoena sinus]	654	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032476004.1	1814725300	XP_032476004.1 angiotensin-converting enzyme 2 isoform X1 [Phocoena sinus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032476002.1	1814725298	XP_032476002.1 angiotensin-converting enzyme 2 isoform X1 [Phocoena sinus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032476001.1	1814725296	XP_032476001.1 angiotensin-converting enzyme 2 isoform X1 [Phocoena sinus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_006194263.1	560936905	XP_006194263.1 angiotensin-converting enzyme 2 [Camelus ferus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032245506.1	1808002837	XP_032245506.1 angiotensin-converting enzyme 2 [Phoca vitulina]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032187679.1	1804883285	XP_032187679.1 angiotensin-converting enzyme 2 [Mustela erminea]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032187678.1	1804883283	XP_032187678.1 angiotensin-converting enzyme 2 [Mustela erminea]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032187677.1	1804883281	XP_032187677.1 angiotensin-converting enzyme 2 [Mustela erminea]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032141855.1	1804372249	XP_032141855.1 angiotensin-converting enzyme 2 [Sapajus apella]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032141854.1	1804372247	XP_032141854.1 angiotensin-converting enzyme 2 [Sapajus apella]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_031814825.1	1788900466	XP_031814825.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Sarcophilus harrisii]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_023054821.1	1297784092	XP_023054821.1 angiotensin-converting enzyme 2 [Piliocolobus tephrosceles]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_021788733.1	1220240519	XP_021788733.1 angiotensin-converting enzyme 2 [Papio anubis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_021788732.1	1220240517	XP_021788732.1 angiotensin-converting enzyme 2 [Papio anubis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_031226742.1	1768075261	XP_031226742.1 angiotensin-converting enzyme 2 [Mastomys coucha]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_010364367.2	1751287631	XP_010364367.2 angiotensin-converting enzyme 2 [Rhinopithecus roxellana]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_003261132.2	1743233337	XP_003261132.2 angiotensin-converting enzyme 2 [Nomascus leucogenys]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_022418360.1	1246242315	XP_022418360.1 angiotensin-converting enzyme 2 [Delphinapterus leucas]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_029786256.1	1702042940	XP_029786256.1 angiotensin-converting enzyme 2 [Suricata suricatta]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_008839098.1	674064479	XP_008839098.1 angiotensin-converting enzyme 2 [Nannospalax galili]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_021043935.1	1195562449	XP_021043935.1 angiotensin-converting enzyme 2 [Mus pahari]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_021009138.1	1195741830	XP_021009138.1 angiotensin-converting enzyme 2 [Mus caroli]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_029095808.1	1655713593	XP_029095808.1 angiotensin-converting enzyme 2 [Monodon monoceros]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_029095807.1	1655713591	XP_029095807.1 angiotensin-converting enzyme 2 [Monodon monoceros]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_029095806.1	1655713589	XP_029095806.1 angiotensin-converting enzyme 2 [Monodon monoceros]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_029095805.1	1655713587	XP_029095805.1 angiotensin-converting enzyme 2 [Monodon monoceros]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_029095804.1	1655713585	XP_029095804.1 angiotensin-converting enzyme 2 [Monodon monoceros]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_028617962.1	1621839690	XP_028617962.1 angiotensin-converting enzyme 2 [Grammomys surdaster]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_028617961.1	1621839688	XP_028617961.1 angiotensin-converting enzyme 2 [Grammomys surdaster]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027970822.1	1570481052	XP_027970822.1 angiotensin-converting enzyme 2 [Eumetopias jubatus]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027691156.1	1561912125	XP_027691156.1 angiotensin-converting enzyme 2 [Vombatus ursinus]	809	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_006164754.1	562873731	XP_006164754.1 angiotensin-converting enzyme 2 [Tupaia chinensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027389730.1	1542973341	XP_027389730.1 angiotensin-converting enzyme 2 isoform X3 [Bos indicus x Bos taurus]	750	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027389729.1	1542973339	XP_027389729.1 angiotensin-converting enzyme 2 isoform X2 [Bos indicus x Bos taurus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027389728.1	1542973337	XP_027389728.1 angiotensin-converting enzyme 2 isoform X1 [Bos indicus x Bos taurus]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_027389727.1	1542973335	XP_027389727.1 angiotensin-converting enzyme 2 isoform X1 [Bos indicus x Bos taurus]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_005358818.1	532031774	XP_005358818.1 angiotensin-converting enzyme 2 [Microtus ochrogaster]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_025790417.1	1435046300	XP_025790417.1 angiotensin-converting enzyme 2 [Puma concolor]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_025227847.1	1411182784	XP_025227847.1 angiotensin-converting enzyme 2 [Theropithecus gelada]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_006911709.1	586553399	XP_006911709.1 angiotensin-converting enzyme 2 [Pteropus alecto]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_024599894.1	1378836071	XP_024599894.1 angiotensin-converting enzyme 2 [Neophocaena asiaeorientalis asiaeorientalis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_023609439.1	1335132233	XP_023609439.1 angiotensin-converting enzyme 2 isoform X2 [Myotis lucifugus]	799	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_023609438.1	1335132231	XP_023609438.1 angiotensin-converting enzyme 2 isoform X1 [Myotis lucifugus]	819	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_023609437.1	1335132229	XP_023609437.1 angiotensin-converting enzyme 2 isoform X1 [Myotis lucifugus]	819	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_023575316.1	1334042022	XP_023575316.1 angiotensin-converting enzyme 2 [Octodon degus]	831	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_023575315.1	1334042020	XP_023575315.1 angiotensin-converting enzyme 2 [Octodon degus]	831	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_003791912.1	395837992	XP_003791912.1 angiotensin-converting enzyme 2 [Otolemur garnettii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_008062810.1	640812316	XP_008062810.1 angiotensin-converting enzyme 2 [Carlito syrichta]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004866157.1	513009471	XP_004866157.1 angiotensin-converting enzyme 2 [Heterocephalus glaber]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_020935036.1	1191912380	XP_020935036.1 angiotensin-converting enzyme 2 isoform X3 [Sus scrofa]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_020935035.1	1191912378	XP_020935035.1 angiotensin-converting enzyme 2 isoform X3 [Sus scrofa]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_020935034.1	1191912376	XP_020935034.1 angiotensin-converting enzyme 2 isoform X2 [Sus scrofa]	792	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_020935033.1	1191912374	XP_020935033.1 angiotensin-converting enzyme 2 isoform X1 [Sus scrofa]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019522954.1	1121764646	XP_019522954.1 PREDICTED: angiotensin-converting enzyme 2 [Hipposideros armiger]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019522943.1	1121764644	XP_019522943.1 PREDICTED: angiotensin-converting enzyme 2 [Hipposideros armiger]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019522936.1	1121764642	XP_019522936.1 PREDICTED: angiotensin-converting enzyme 2 [Hipposideros armiger]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_017899103.1	1062831713	XP_017899103.1 PREDICTED: angiotensin-converting enzyme 2 isoform X2 [Capra hircus]	743	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_005701129.2	1062831707	XP_005701129.2 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Capra hircus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_017744070.1	1059175447	XP_017744070.1 PREDICTED: angiotensin-converting enzyme 2 [Rhinopithecus bieti]	724	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_017744069.1	1059175445	XP_017744069.1 PREDICTED: angiotensin-converting enzyme 2 [Rhinopithecus bieti]	724	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_016058453.1	1016663010	XP_016058453.1 PREDICTED: angiotensin-converting enzyme 2 [Miniopterus natalensis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_015426919.1	987968652	XP_015426919.1 PREDICTED: angiotensin-converting enzyme 2 isoform X2 [Myotis davidii]	799	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_015426918.1	987968650	XP_015426918.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Myotis davidii]	819	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_006775273.1	584061683	XP_006775273.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Myotis davidii]	819	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_014399783.1	946776235	XP_014399783.1 PREDICTED: angiotensin-converting enzyme 2 isoform X3 [Myotis brandtii]	754	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_014399782.1	946776233	XP_014399782.1 PREDICTED: angiotensin-converting enzyme 2 isoform X2 [Myotis brandtii]	799	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_014399781.1	946776231	XP_014399781.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Myotis brandtii]	819	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_014399780.1	946776229	XP_014399780.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Myotis brandtii]	819	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_013362429.1	918647894	XP_013362429.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Chinchilla lanigera]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_013362428.1	918647892	XP_013362428.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Chinchilla lanigera]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_012887573.1	852795131	XP_012887573.1 PREDICTED: angiotensin-converting enzyme 2 isoform X2 [Dipodomys ordii]	740	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_012887572.1	852795128	XP_012887572.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Dipodomys ordii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_012585871.1	830125541	XP_012585871.1 PREDICTED: angiotensin-converting enzyme 2 [Condylura cristata]	800	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_012494186.1	826277803	XP_012494186.1 PREDICTED: angiotensin-converting enzyme 2 [Propithecus coquereli]	826	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_012494185.1	826277800	XP_012494185.1 PREDICTED: angiotensin-converting enzyme 2 [Propithecus coquereli]	826	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004415448.1	472392337	XP_004415448.1 PREDICTED: angiotensin-converting enzyme 2 [Odobenus rosmarus divergens]	732	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_011891201.1	795472195	XP_011891201.1 PREDICTED: angiotensin-converting enzyme 2 [Cercocebus atys]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_011891200.1	795472189	XP_011891200.1 PREDICTED: angiotensin-converting enzyme 2 [Cercocebus atys]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_011891199.1	795472183	XP_011891199.1 PREDICTED: angiotensin-converting enzyme 2 [Cercocebus atys]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_011891198.1	795472178	XP_011891198.1 PREDICTED: angiotensin-converting enzyme 2 [Cercocebus atys]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_011850923.1	795225766	XP_011850923.1 PREDICTED: angiotensin-converting enzyme 2 [Mandrillus leucophaeus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
